locationType,worldX,worldY,locationID,region,climate
Farm,282,149,2825614961,Shalgora,3
Farm,230,31,230683113,Northmoor,1
Farm,864,403,8645640342,Dragontail Mountains,4
Farm,573,36,5731083668,Dwynnen,1
Farm,898,455,8986145514,Ephesus,4
Farm,277,179,2777217997,Daggerfall,1
Farm,545,366,5455636644,Ayasofya,7
Farm,451,408,4515240874,Ayasofya,8
Farm,809,153,8096015363,Menevia,3
Farm,388,483,38811848370,Alik'r Desert,8
Farm,489,474,48910847473,Alik'r Desert,8
Farm,270,206,27004206106,Daggerfall,1
Farm,911,321,9117432108,Mournoth,5
Farm,299,63,299286365,Ilessan Hills,1
Farm,181,62,181876249,Northmoor,1
Farm,527,85,527728509,Dwynnen,1
Farm,787,70,787687032,Wrothgarian Mountains,4
Farm,873,232,8735123260,Wayrest,1
Farm,163,77,163777777,Glenpoint,3
Farm,950,263,95010626374,Wayrest,1
Farm,975,57,975405764,Wrothgarian Mountains,4
Farm,481,363,4813636354,Ayasofya,7
Farm,749,123,74911012322,Wrothgarian Mountains,4
Farm,473,40,473784074,Phrygias,1
Farm,854,317,8545831765,Totambu,5
Farm,310,73,310407364,Ilessan Hills,1
Farm,213,200,21312220004,Daggerfall,1
Farm,105,112,1050811265,Tulune,1
Farm,180,37,180083755,Northmoor,1
Farm,256,98,2561239822,Ilessan Hills,3
Farm,198,55,198865578,Northmoor,1
Farm,386,399,38652399109,Sentinel,7
Farm,386,411,38611041110,Alik'r Desert,8
Farm,939,10,939821083,Wrothgarian Mountains,4
Farm,144,83,144528360,Glenumbra Moors,3
Farm,437,63,437556388,Urvaius,1
Farm,844,364,8446036470,Totambu,5
Farm,849,382,8496338256,Totambu,5
Farm,645,32,645333282,Wrothgarian Mountains,4
Farm,868,211,8686821126,Wayrest,1
Farm,305,401,3058640152,Myrkwasa,7
Farm,693,328,6939732859,Kozanset,5
Farm,397,47,397994742,Daenia,1
Farm,115,156,1156015658,Daggerfall,1
Farm,486,14,486521473,Phrygias,2
Farm,971,475,97161475127,Dragontail Mountains,4
Farm,311,191,3113619172,Shalgora,1
Farm,942,193,94268193109,Wrothgarian Mountains,4
Farm,136,179,1363217993,Daggerfall,1
Farm,939,289,93912228969,Mournoth,5
Farm,668,380,668108380125,Dragontail Mountains,4
Farm,473,23,4731142358,Phrygias,2
Farm,537,29,537422960,Dwynnen,1
Farm,277,496,2773649659,Alik'r Desert,8
Farm,373,455,3738145538,Alik'r Desert,8
Farm,344,107,3447710778,Shalgora,1
Farm,378,116,37810211676,Daenia,1
Farm,513,60,513736060,Dwynnen,1
Farm,334,157,3348815787,Anticlere,1
Farm,350,373,3504537355,Sentinel,7
Farm,282,44,282744452,Ykalon,1
Farm,531,47,531684704,Dwynnen,1
Farm,723,397,7239739733,Dragontail Mountains,4
Farm,202,98,2021119814,Glenpoint,3
Farm,586,134,5866013463,Bhoriane,1
Farm,327,166,3275816656,Shalgora,1
Farm,745,447,7451444752,Dragontail Mountains,4
Farm,900,275,90011927524,Mournoth,5
Farm,745,372,74512837272,Totambu,5
Farm,517,124,5171512415,Dwynnen,1
Farm,301,97,3017397101,Ilessan Hills,2
Farm,758,458,7580145863,Dragontail Mountains,4
Farm,656,288,6567028850,Lainlyn,4
Farm,132,174,13260174127,Daggerfall,1
Farm,281,26,281682668,Ykalon,2
Farm,594,492,5947449210,Dak'fron,9
Farm,674,27,6747727127,Wrothgarian Mountains,4
Farm,925,478,9255647869,Dragontail Mountains,4
Farm,811,344,8117634463,Totambu,5
Farm,586,387,5866338736,Alik'r Desert,8
Farm,300,405,3007340568,Myrkwasa,7
Farm,872,429,8723242951,Ephesus,4
Farm,321,12,3217212106,Ykalon,2
Farm,521,64,521976455,Dwynnen,1
Farm,693,294,6936329465,Lainlyn,5
Farm,795,361,795104361110,Totambu,5
Farm,551,51,5511351108,Dwynnen,1
Farm,409,44,409584459,Daenia,1
Farm,371,85,371548561,Daenia,1
Farm,183,476,18300476104,Abibon-gora,7
Farm,733,352,73361352124,Totambu,5
Farm,530,10,530041073,Phrygias,1
Farm,548,302,5486130279,Tigonus,6
Farm,425,33,425633326,Ykalon,1
Farm,146,493,1462049369,Abibon-gora,7
Farm,874,157,87411815756,Orsinium Area,3
Farm,856,487,85672487102,Dragontail Mountains,4
Farm,402,402,40268402102,Sentinel,8
Farm,257,100,2576510077,Ilessan Hills,3
Farm,822,421,8223342161,Dragontail Mountains,4
Farm,825,191,8250119117,Menevia,1
Farm,245,179,2452817977,Daggerfall,1
Farm,154,195,1548619584,Daggerfall,1
Farm,538,381,5387438172,Ayasofya,7
Farm,781,347,7816434705,Totambu,5
Farm,543,28,543522837,Dwynnen,1
Farm,577,352,5773735256,Tigonus,7
Farm,725,341,72561341122,Kozanset,5
Farm,947,291,9477629159,Mournoth,5
Farm,969,195,96919195116,Wrothgarian Mountains,4
Farm,180,45,18011145104,Northmoor,1
Farm,785,358,78564358119,Totambu,5
Farm,560,48,5601348109,Dwynnen,1
Farm,508,36,5085836106,Dwynnen,1
Farm,378,83,378288369,Daenia,1
Farm,735,313,7355431377,Lainlyn,5
Farm,203,159,2033815959,Daggerfall,3
Farm,414,153,4146515323,Anticlere,1
Farm,353,369,3537436951,Sentinel,7
Farm,753,7,753760741,Wrothgarian Mountains,4
Farm,939,324,9396032467,Mournoth,5
Farm,156,87,1565587105,Glenpoint,3
Farm,241,38,241313867,Northmoor,1
Farm,628,16,6281251613,Wrothgarian Mountains,4
Farm,177,56,1777356102,Northmoor,1
Farm,283,84,28311684108,Ilessan Hills,1
Farm,514,120,514101120100,Dwynnen,1
Farm,886,118,88667118101,Wrothgarian Mountains,4
Farm,884,9,8841100954,Wrothgarian Mountains,4
Farm,376,89,376968993,Daenia,1
Farm,507,328,5073532874,Tigonus,6
Farm,876,440,8767344061,Ephesus,4
Farm,655,393,6554539365,Dragontail Mountains,4
Farm,320,38,320543846,Ykalon,1
Farm,178,136,1784113672,Glenpoint,3
Farm,476,41,4761044172,Phrygias,1
Farm,907,195,9077419518,Wayrest,3
Farm,482,144,48212314461,Anticlere,1
Farm,617,52,617705254,Kambria,1
Farm,923,246,92312024652,Wayrest,1
Farm,889,344,8897934472,Totambu,5
Farm,595,389,5956438974,Alik'r Desert,8
Farm,171,470,17149470101,Abibon-gora,7
Farm,509,86,5091138614,Dwynnen,1
Farm,468,165,4687016596,Anticlere,1
Farm,826,469,82612446955,Ephesus,4
Farm,850,219,8503821970,Wayrest,1
Farm,391,2,391650255,Ykalon,2
Farm,825,433,82500433113,Ephesus,4
Farm,350,144,3505114465,Anticlere,1
Farm,187,32,187773256,Northmoor,1
Farm,532,27,5320927120,Dwynnen,1
Farm,514,43,514654399,Dwynnen,1
Farm,517,145,51712214556,Dwynnen,1
Farm,231,188,2313318868,Daggerfall,1
Farm,389,78,389137873,Daenia,1
Farm,540,21,540782197,Dwynnen,1
Farm,547,318,54710631876,Tigonus,6
Farm,796,345,79610634574,Totambu,5
Farm,364,121,3642212156,Anticlere,1
Farm,319,198,31906198116,Shalgora,1
Farm,178,198,1784219846,Daggerfall,1
Farm,724,292,7247929256,Lainlyn,5
Farm,935,13,935821346,Wrothgarian Mountains,4
Farm,139,208,1391920859,Daggerfall,1
Farm,450,369,4507036972,Ayasofya,7
Farm,318,197,3184619797,Shalgora,1
Farm,631,107,6312310724,Bhoriane,1
Farm,221,151,2216715104,Daggerfall,3
Farm,948,358,9485535852,Mournoth,5
Farm,970,251,9707625112,Wayrest,1
Farm,216,437,2167743763,Kairou,7
Farm,597,329,5970432977,Dragontail Mountains,4
Farm,215,15,215841552,Northmoor,1
Farm,437,156,4376015654,Anticlere,1
Farm,194,92,194929264,Glenpoint,3
Farm,881,48,881924840,Wrothgarian Mountains,4
Farm,554,84,554528470,Dwynnen,1
Farm,161,69,161786974,Glenpoint,1
Farm,395,93,395939384,Daenia,1
Farm,802,437,80214437115,Dragontail Mountains,4
Farm,913,209,91372209119,Wayrest,1
Farm,920,450,9200445067,Ephesus,4
Farm,751,311,7510331169,Lainlyn,5
Farm,784,325,7844132542,Totambu,5
Farm,807,155,8077415554,Menevia,3
Farm,293,23,293702364,Ykalon,2
Farm,842,332,8425433270,Totambu,5
Farm,180,457,1804645740,Abibon-gora,7
Farm,471,145,471120145109,Anticlere,1
Farm,207,143,2078114327,Glenpoint,3
Farm,331,152,33158152108,Shalgora,1
Farm,897,211,89769211111,Wayrest,1
Farm,377,163,3776516328,Anticlere,1
Farm,614,375,61410437520,Dragontail Mountains,4
Farm,914,247,91412524718,Wayrest,1
Farm,410,155,4104215570,Anticlere,1
Farm,836,300,83604300105,Satakalaam,5
Farm,444,130,4445913064,Urvaius,1
Farm,650,69,650606927,Kambria,1
Farm,376,113,3760511358,Daenia,1
Farm,715,346,7156434692,Kozanset,5
Farm,224,453,2246445376,Kairou,7
Farm,801,311,8015531190,Satakalaam,5
Farm,941,380,9416738070,Mournoth,5
Farm,557,81,557138115,Kambria,1
Farm,296,215,2964921582,Daggerfall,1
Farm,121,57,121475765,Glenumbra Moors,1
Farm,144,208,1449720851,Daggerfall,1
Farm,740,429,7406342970,Dragontail Mountains,4
Farm,581,379,5813237969,Tigonus,7
Farm,643,391,6437439154,Dragontail Mountains,4
Farm,282,75,282207554,Ilessan Hills,1
Farm,146,193,1463119367,Daggerfall,1
Farm,74,104,747210420,Glenumbra Moors,1
Farm,674,82,6747682102,Koegria,1
Farm,495,340,4958234088,Tigonus,6
Farm,785,338,7859333859,Totambu,5
Farm,960,447,9608744742,Dragontail Mountains,4
Farm,715,283,7157428355,Lainlyn,5
Farm,359,375,3598337591,Sentinel,7
Farm,233,166,2335616637,Daggerfall,3
Farm,552,366,55211336658,Tigonus,7
Farm,480,450,48077450102,Antiphyllos,8
Farm,372,386,3724038697,Sentinel,7
Farm,303,420,30310942056,Myrkwasa,7
Farm,161,105,16112710508,Glenpoint,3
Farm,808,42,8081742116,Wrothgarian Mountains,4
Farm,197,127,1977612760,Glenpoint,3
Farm,427,130,4276813056,Anticlere,1
Farm,782,301,7828630164,Satakalaam,5
Farm,820,360,8204636074,Totambu,5
Farm,517,336,5173533688,Tigonus,6
Farm,560,329,5609732987,Tigonus,7
Farm,922,30,922403055,Wrothgarian Mountains,4
Farm,946,289,9465228952,Mournoth,5
Farm,888,432,8888143251,Ephesus,4
Farm,676,286,6767328672,Lainlyn,5
Farm,484,383,4841438356,Ayasofya,7
Farm,359,435,3596043561,Alik'r Desert,8
Farm,387,170,3875517052,Anticlere,1
Farm,948,61,948596159,Wrothgarian Mountains,4
Farm,589,357,5893335733,Tigonus,7
Farm,219,117,21910811758,Glenpoint,3
Farm,549,62,549616270,Dwynnen,1
Farm,957,321,9576732173,Mournoth,5
Farm,117,141,1179714142,Tulune,1
Farm,761,359,76183359101,Totambu,5
Farm,830,157,83010015791,Menevia,3
Farm,639,304,6395430458,Dragontail Mountains,4
Farm,828,175,8289617563,Menevia,1
Farm,911,90,911129024,Wrothgarian Mountains,4
Farm,742,335,74212533520,Totambu,5
Farm,896,317,8967231773,Mournoth,5
Farm,549,107,54974107113,Dwynnen,1
Farm,724,231,7249023147,Isle of Balfiera,4
Farm,788,34,788763464,Wrothgarian Mountains,4
Farm,914,312,9145831213,Mournoth,5
Farm,183,128,1839312876,Glenpoint,3
Farm,912,427,9129642752,Ephesus,4
Farm,796,289,7967028968,Satakalaam,5
Farm,980,174,9800417461,Wrothgarian Mountains,4
Farm,409,373,4093137377,Sentinel,7
Farm,395,163,3955216373,Anticlere,1
Farm,407,80,4072280109,Daenia,1
Farm,753,137,7531813759,Alcaire,1
Farm,758,60,7581196069,Wrothgarian Mountains,4
Farm,572,118,5725811873,Bhoriane,1
Farm,410,94,410599496,Daenia,1
Farm,895,303,89574303104,Mournoth,5
Farm,677,209,6775420938,Isle of Balfiera,4
Farm,840,373,84012837373,Totambu,5
Farm,748,69,748606912,Wrothgarian Mountains,4
Farm,683,26,68312026123,Wrothgarian Mountains,4
Farm,356,358,3562235858,Sentinel,7
Farm,315,417,3157741736,Myrkwasa,7
Farm,162,64,162126417,Northmoor,1
Farm,704,309,7044630933,Lainlyn,5
Farm,269,145,2695614564,Daggerfall,3
Farm,640,50,640455028,Kambria,4
Farm,136,193,1363719384,Daggerfall,1
Farm,900,284,9003228446,Mournoth,5
Farm,190,137,1906513773,Glenpoint,3
Farm,548,32,5480832120,Dwynnen,1
Farm,836,362,8360936255,Totambu,5
Farm,204,477,2044747779,Abibon-gora,7
Farm,244,107,2446410713,Ilessan Hills,3
